,psgc_code,formatted_address,province,latitude,longitude,accuracy,google_place_id,type,input_string,number_of_results,status
10,124701008,"Malitubog, Alamada, Cotabato, Philippines",Cotabato,7.3736998,124.6082018,APPROXIMATE,ChIJp3yPEfaj-DIRNhtp-fQwGcs,"administrative_area_level_5,political","Malitubog,Alamada,Cotabato",1,OK
11,124701009,"Mapurok, Cotabato, Philippines",Cotabato,7.4314264,124.525144,APPROXIMATE,ChIJkUrGIY6n-DIR9V4uicAUvE8,"administrative_area_level_5,political","Mapurok,Alamada,Cotabato",1,OK
12,124701010,"Pacao, Cotabato, Philippines",Cotabato,7.3384178,124.5666828,APPROXIMATE,ChIJp2An6Qih-DIR64fZoF2_Xxg,"administrative_area_level_5,political","Pacao,Alamada,Cotabato",1,OK
13,124701011,"Paruayan, Alamada, Cotabato, Philippines",Cotabato,7.3405776,124.5943644,APPROXIMATE,ChIJq3i2dGGh-DIRNsqjQn39g8c,"administrative_area_level_5,political","Paruayan,Alamada,Cotabato",1,OK
14,124701012,"Pigcawaran, Alamada, Cotabato, Philippines",Cotabato,7.4386442,124.5473005,APPROXIMATE,ChIJtXsFldOn-DIRne0vxrol9O8,"administrative_area_level_5,political","Pigcawaran,Alamada,Cotabato",1,OK
15,124701013,"Polayagan, Cotabato, Philippines",Cotabato,7.3908463,124.5694514,APPROXIMATE,ChIJExvEneim-DIRQN0Y3u2djSk,"administrative_area_level_5,political","Polayagan,Alamada,Cotabato",1,OK
16,124701014,"Rangayen, Alamada, Cotabato, Philippines",Cotabato,7.4653521,124.6082018,APPROXIMATE,ChIJXwHsBeCu-DIRW-5fjyogOIY,"administrative_area_level_5,political","Rangayen,Alamada,Cotabato",1,OK
17,124701015,"LOWER DADO, Alamada, Cotabato, Philippines",Cotabato,7.5067792,124.5230666,APPROXIMATE,ChIJqeJ55-6p-DIROf5s71kkijA,"neighborhood,political","Lower Dado,Alamada,Cotabato",1,OK
18,124701016,"Mirasol, Cotabato, Philippines",Cotabato,7.3654077,124.5722198,APPROXIMATE,ChIJ0T37yDSh-DIRwjVq0x8m9Uc,"administrative_area_level_5,political","Mirasol,Alamada,Cotabato",1,OK
19,124701017,"Raradangan, Cotabato, Philippines",Cotabato,7.3984006,124.5486851,APPROXIMATE,ChIJx2c2sxyn-DIRbXzyZ7ne_bQ,"administrative_area_level_5,political","Raradangan,Alamada,Cotabato",1,OK
20,124702000,"Carmen, Cotabato, Philippines",Cotabato,7.3826135,124.8182593,APPROXIMATE,ChIJ-2WgfJG--DIR8rhEKnYAHv0,"locality,political","CARMEN,Cotabato",1,OK
21,124702001,"Aroman, Carmen, Cotabato, Philippines",Cotabato,7.2891409,124.7906495,APPROXIMATE,ChIJFbS39RW--DIRq8IdqbZAiF0,"administrative_area_level_5,political","Aroman,Carmen,Cotabato",1,OK
22,124702003,"Bentangan, Carmen, Cotabato, Philippines",Cotabato,7.3293352,124.6967094,APPROXIMATE,ChIJVUgHgsy8-DIRDwyfzyX_RjQ,"administrative_area_level_5,political","Bentangan,Carmen,Cotabato",1,OK
23,124702005,"Cadiis, Carmen, Cotabato, Philippines",Cotabato,7.4039951,124.834821,APPROXIMATE,ChIJQ0hBiT64-DIRBKG_UKofSgA,"administrative_area_level_5,political","Cadiis,Carmen,Cotabato",1,OK
24,124702007,"General Luna, Carmen, Cotabato, Philippines",Cotabato,7.1787661,124.8016945,APPROXIMATE,ChIJdzM5R5WT-DIRGNwnTznfX9s,"administrative_area_level_5,political","General Luna,Carmen,Cotabato",1,OK
25,124702008,"Katanayanan, Carmen, Cotabato, Philippines",Cotabato,7.2089638,124.7685552,APPROXIMATE,ChIJ88H7t6uW-DIR054KNoNYZLA,"administrative_area_level_5,political","Katanayanan,Carmen,Cotabato",1,OK
26,124702010,"Kib-Ayao, Carmen, Cotabato, Philippines",Cotabato,7.1926384,124.7464552,APPROXIMATE,ChIJGdhsADqR-DIRFSCWlDqgAU0,"administrative_area_level_5,political","Kib-Ayao,Carmen,Cotabato",1,OK
27,124702011,"Kibenes, Carmen, Cotabato, Philippines",Cotabato,7.2209486,124.7354031,APPROXIMATE,ChIJX9rx68-W-DIRez5dr1Y3E8A,"administrative_area_level_5,political","Kibenes,Carmen,Cotabato",1,OK
28,124702012,"Kibugtongan, Carmen, Cotabato, Philippines",Cotabato,7.3184682,124.7685552,APPROXIMATE,ChIJdVuTdSy8-DIRarBPsMh4GFc,"administrative_area_level_5,political","Kibugtongan,Carmen,Cotabato",1,OK
29,124702013,"Kilala, Carmen, Cotabato, Philippines",Cotabato,7.2920377,124.7575059,APPROXIMATE,ChIJ-xplqO29-DIRZ-5tigKYgG0,"administrative_area_level_5,political","Kilala,Carmen,Cotabato",1,OK
30,124702014,"Kimadzil, Carmen, Cotabato, Philippines",Cotabato,7.32275,124.8237803,APPROXIMATE,ChIJY9M30eG--DIRKOghYuKOvIE,"administrative_area_level_5,political","Kimadzil,Carmen,Cotabato",1,OK
31,124702015,"Kitulaan, Carmen, Cotabato, Philippines",Cotabato,7.2627275,124.779603,APPROXIMATE,ChIJW2QBSfCV-DIRfIOeYLr8idU,"administrative_area_level_5,political","Kitulaan,Carmen,Cotabato",1,OK
32,124702016,"Langogan, Cotabato, Philippines",Cotabato,7.2416021,124.8127381,APPROXIMATE,ChIJXzD7KFaU-DIR0ABvr5FIGKQ,"administrative_area_level_5,political","Langogan,Carmen,Cotabato",1,OK
33,124702017,"Lanoon, Carmen, Cotabato, Philippines",Cotabato,7.2695551,124.8320609,APPROXIMATE,ChIJQyp3vGOV-DIRnPYvqIzFkJ8,"administrative_area_level_5,political","Lanoon,Carmen,Cotabato",1,OK
34,124702019,"Liliongan, Carmen, Cotabato, Philippines",Cotabato,7.365345,124.7911,APPROXIMATE,ChIJQ608jEG5-DIRqX7pg-39dvM,"neighborhood,political","Liliongan,Carmen,Cotabato",1,OK
35,124702020,"Ugalingan (Lumayong), Cotabato, Philippines",Cotabato,7.1605519,124.8016945,APPROXIMATE,ChIJpw6lCUmS-DIRq2pmuSCOBJ8,"administrative_area_level_5,political","Ugalingan (Lumayong),Carmen,Cotabato",1,OK
36,124702021,"Macabenban, Carmen, Cotabato, Philippines",Cotabato,7.4394499,124.7961722,APPROXIMATE,ChIJdYrLjxq3-DIRKHYnoSJx4Go,"administrative_area_level_5,political","Macabenban,Carmen,Cotabato",1,OK
37,124702022,"Malapag, Carmen, Cotabato, Philippines",Cotabato,7.3744518,124.8072165,APPROXIMATE,ChIJx64s0w65-DIRRb9vy_uqFSI,"administrative_area_level_5,political","Malapag,Carmen,Cotabato",1,OK
38,124702024,"Manarapan, Carmen, Cotabato, Philippines",Cotabato,7.255322,124.790802,APPROXIMATE,ChIJ8VEBh8GV-DIRFcXO632ERLo,"neighborhood,political","Manarapan,Carmen,Cotabato",1,OK
39,124702025,"Manili, Carmen, Cotabato, Philippines",Cotabato,7.2994462,124.8293008,APPROXIMATE,ChIJ7ajtK7C_-DIRfpkCnlb6Iho,"administrative_area_level_5,political","Manili,Carmen,Cotabato",1,OK
40,124702027,"Nasapian, Cotabato, Philippines",Cotabato,7.1725094,124.7685552,APPROXIMATE,ChIJBQNyuXyR-DIRtjaW3QLSZfc,"administrative_area_level_5,political","Nasapian,Carmen,Cotabato",1,OK
41,124702028,"Palanggalan, Carmen, Cotabato, Philippines",Cotabato,7.2725825,124.7188222,APPROXIMATE,ChIJTyHXCdmX-DIR2_4CS-U23AU,"administrative_area_level_5,political","Palanggalan,Carmen,Cotabato",1,OK
42,124702030,"Pebpoloan, Carmen, Cotabato, Philippines",Cotabato,7.2598405,124.8127381,APPROXIMATE,ChIJXaaFZp6V-DIR_CMGirEqiac,"administrative_area_level_5,political","Pebpoloan,Carmen,Cotabato",1,OK
43,124702032,"Poblacion, Cotabato, Philippines",Cotabato,7.204059,124.7989334,APPROXIMATE,ChIJOzjU5HWU-DIROADk89_sKZ4,"administrative_area_level_5,political","Poblacion,Carmen,Cotabato",1,OK
44,124702034,"Ranzo, Carmen, Cotabato, Philippines",Cotabato,7.2464013,124.7575059,APPROXIMATE,ChIJCY26u16W-DIRZAJbAyQ_5ws,"administrative_area_level_5,political","Ranzo,Carmen,Cotabato",1,OK
45,124702035,"Tacupan, Carmen, Cotabato, Philippines",Cotabato,7.2243274,124.8016945,APPROXIMATE,ChIJ52lsChiU-DIRhlseUhq--48,"administrative_area_level_5,political","Tacupan,Carmen,Cotabato",1,OK
46,124702036,"Tambad, Carmen, Cotabato, Philippines",Cotabato,7.3848917,124.8955195,APPROXIMATE,ChIJKdMzSLnH-DIRiurNE3TjBnI,"administrative_area_level_5,political","Tambad,Carmen,Cotabato",1,OK
47,124702037,"Tonganon, Carmen, Cotabato, Philippines",Cotabato,7.2764289,124.674591,APPROXIMATE,ChIJo3EVbhOY-DIRM77jqO-vYYw,"administrative_area_level_5,political","Tonganon,Carmen,Cotabato",1,OK
48,124702039,"Tupig, Cotabato, Philippines",Cotabato,7.2238148,124.7022382,APPROXIMATE,ChIJ30mUzFqX-DIR33qsP0Mr2Jo,"administrative_area_level_5,political","Tupig,Carmen,Cotabato",1,OK
49,124703000,"Kabacan, Cotabato, Philippines",Cotabato,7.1071923,124.8403408,APPROXIMATE,ChIJHepH-J6N-DIRcnnvx0gdvPs,"locality,political","KABACAN,Cotabato",1,OK
50,124703001,"Aringay, Kabacan, Cotabato, Philippines",Cotabato,7.1294571,124.8458603,APPROXIMATE,ChIJP9yNXaCS-DIRFpqYwAKa23k,"administrative_area_level_5,political","Aringay,Kabacan,Cotabato",1,OK
51,124703002,"Bangilan, Kabacan, Cotabato, Philippines",Cotabato,7.1554638,124.887245,APPROXIMATE,ChIJ4UugRB_t-DIR6tzRNLjcUB4,"administrative_area_level_5,political","Bangilan,Kabacan,Cotabato",1,OK
52,124703003,"Bannawag, Kabacan, Cotabato, Philippines",Cotabato,7.1523408,124.8706935,APPROXIMATE,ChIJGyzCAC7t-DIRY5a52P9OeNU,"administrative_area_level_5,political","Bannawag,Kabacan,Cotabato",1,OK
53,124703004,"Buluan, Kabacan, Cotabato, Philippines",Cotabato,7.1759102,124.834821,APPROXIMATE,ChIJW5R7Gg6T-DIR8ZJ1IWUzXwY,"administrative_area_level_5,political","Buluan,Kabacan,Cotabato",1,OK
54,124703005,"Cuyapon, Cotabato, Philippines",Cotabato,7.0263449,124.8293008,APPROXIMATE,ChIJj6XpUAuL-DIR8WJ1PA7wZVE,"administrative_area_level_5,political","Cuyapon,Kabacan,Cotabato",1,OK
55,124703006,"Dagupan, Kabacan, Cotabato, Philippines",Cotabato,7.1255271,124.8651757,APPROXIMATE,ChIJrwkED1Xt-DIRHiq0ikl7a28,"administrative_area_level_5,political","Dagupan,Kabacan,Cotabato",1,OK
56,124703007,"Katidtuan, Kabacan, Cotabato, Philippines",Cotabato,7.1002883,124.8679347,APPROXIMATE,ChIJ1ZAVKMzy-DIR47LkQEQxYs8,"administrative_area_level_5,political","Katidtuan,Kabacan,Cotabato",1,OK
57,124703008,"Kayaga, Kabacan, Cotabato, Philippines",Cotabato,7.11412,124.808899,APPROXIMATE,ChIJo4oFjJmN-DIR71y3I00uuSQ,"neighborhood,political","Kayaga,Kabacan,Cotabato",1,OK
58,124703009,"Kilagasan, Kabacan, Cotabato, Philippines",Cotabato,7.0929283,124.8210198,APPROXIMATE,ChIJ0wRzZwCN-DIRgKVhVtJ3EOw,"administrative_area_level_5,political","Kilagasan,Kabacan,Cotabato",1,OK
59,124703010,"Magatos, Cotabato, Philippines",Cotabato,7.0943398,124.8044555,APPROXIMATE,ChIJHRb_BLON-DIR4pY6JtZqG9g,"administrative_area_level_5,political","Magatos,Kabacan,Cotabato",1,OK
60,124703011,"Malamote, Kabacan, Cotabato, Philippines",Cotabato,7.0467131,124.8568982,APPROXIMATE,ChIJ6e3n3lOL-DIRrgmVzJ6WZSI,"administrative_area_level_5,political","Malamote,Kabacan,Cotabato",1,OK
61,124703012,"Malanduague, Kabacan, Cotabato, Philippines",Cotabato,7.1405919,124.8486199,APPROXIMATE,ChIJ0egbbLiS-DIRbHjP0D_iA_k,"administrative_area_level_5,political","Malanduague,Kabacan,Cotabato",1,OK
62,124703013,"Nanga-an, Kabacan, Cotabato, Philippines",Cotabato,7.1880078,124.8265406,APPROXIMATE,ChIJgVXzFG6T-DIRiV96uFxAfMY,"administrative_area_level_5,political","Nanga-an,Kabacan,Cotabato",1,OK
63,124703014,"Osias, Kabacan, Cotabato, Philippines",Cotabato,7.10374,124.8541389,APPROXIMATE,ChIJe-OYli-N-DIR4S_p1S3MAjM,"administrative_area_level_5,political","Osias,Kabacan,Cotabato",1,OK
64,124703015,"Paatan Lower, Cotabato, Philippines",Cotabato,7.0849338,124.834821,APPROXIMATE,ChIJU-3Q2-WM-DIR2_hcMYyeWJU,"administrative_area_level_5,political","Paatan Lower,Kabacan,Cotabato",1,OK
65,124703016,"Paatan Upper, Kabacan, Cotabato, Philippines",Cotabato,7.0723984,124.8486199,APPROXIMATE,ChIJHQrMN8SM-DIRlWsgNvc29iI,"administrative_area_level_5,political","Paatan Upper,Kabacan,Cotabato",1,OK
66,124703017,"Pedtad, Kabacan, Cotabato, Philippines",Cotabato,7.1577031,124.834821,APPROXIMATE,ChIJQQIiCuaS-DIRRrZjz4OWBoU,"administrative_area_level_5,political","Pedtad,Kabacan,Cotabato",1,OK
67,124703018,"Pisan, Kabacan, Cotabato, Philippines",Cotabato,7.1730529,124.8679347,APPROXIMATE,ChIJiR8swcvs-DIReFe1e85qgCk,"administrative_area_level_5,political","Pisan,Kabacan,Cotabato",1,OK
68,124703019,"Poblacion, Kabacan, Cotabato, Philippines",Cotabato,7.1122112,124.834821,APPROXIMATE,ChIJWa1EcW-N-DIRvctyIixL4y8,"administrative_area_level_5,political","Poblacion,Kabacan,Cotabato",1,OK
69,124703020,"Salapungan, Kabacan, Cotabato, Philippines",Cotabato,7.138411,124.8210198,APPROXIMATE,ChIJv7L5I4mS-DIRTlZvIey0mC0,"administrative_area_level_5,political","Salapungan,Kabacan,Cotabato",1,OK
70,124703021,"Sanggadong, Kabacan, Cotabato, Philippines",Cotabato,7.1357108,124.8789697,APPROXIMATE,ChIJSSNfjVzt-DIRPHGJgVMHcI4,"administrative_area_level_5,political","Sanggadong,Kabacan,Cotabato",1,OK
71,124703022,"Simbuhay, Kabacan, Cotabato, Philippines",Cotabato,7.212342,124.834821,APPROXIMATE,ChIJrSkP7L6U-DIR0jEzGVQCrQ4,"administrative_area_level_5,political","Simbuhay,Kabacan,Cotabato",1,OK
72,124703023,"Simone, Kabacan, Cotabato, Philippines",Cotabato,7.2013201,124.8568982,APPROXIMATE,ChIJRZ8A8aCU-DIRCjGS70t3zSM,"administrative_area_level_5,political","Simone,Kabacan,Cotabato",1,OK
73,124703024,"Tamped, Kabacan, Cotabato, Philippines",Cotabato,7.2387209,124.8458603,APPROXIMATE,ChIJqccsZyGV-DIR7KePGtvZmsE,"administrative_area_level_5,political","Tamped,Kabacan,Cotabato",1,OK
74,124704000,"Kidapawan City, Cotabato, Philippines",Cotabato,7.010607,125.0911341,APPROXIMATE,ChIJccxvZAv5-DIR8z_Up1N3CvA,"locality,political","CITY OF KIDAPAWAN,Cotabato",1,OK
75,124704001,"Barangay Amas, Kidapawan City, Cotabato, Philippines",Cotabato,7.05455,124.9782205,APPROXIMATE,ChIJG5uUOYrw-DIRKOziDKKpSHY,"neighborhood,political","Amas,Kidapawan,Cotabato",1,OK
76,124704002,"Amazion, Kidapawan City, Cotabato, Philippines",Cotabato,7.0335961,125.0112782,APPROXIMATE,ChIJ9aew6jD3-DIRqhpqImQc8Z8,"administrative_area_level_5,political","Amazion,Kidapawan,Cotabato",1,OK
77,124704003,"Balabag, Kidapawan City, Cotabato, Philippines",Cotabato,7.0110832,125.1956117,APPROXIMATE,ChIJUSGSDA3--DIR5Lm2BzYRI9U,"administrative_area_level_5,political","Balabag,Kidapawan,Cotabato",1,OK
78,124704004,"Barangay Balindog, Kidapawan City, Cotabato, Philippines",Cotabato,7.0228139,125.0580878,APPROXIMATE,ChIJ1WnpQe35-DIRnGKzxDTkL7Q,"neighborhood,political","Balindog,Kidapawan,Cotabato",1,OK
79,124704005,"Benoligan, Kidapawan City, Cotabato, Philippines",Cotabato,7.0492278,125.0140324,APPROXIMATE,ChIJNXy-0cDw-DIRNs4Cq4k9_lk,"administrative_area_level_5,political","Benoligan,Kidapawan,Cotabato",1,OK
80,124704006,"Berada, Kidapawan City, Cotabato, Philippines",Cotabato,7.0413785,125.1323788,APPROXIMATE,ChIJQyWU4Av8-DIRLEOpHc158kg,"administrative_area_level_5,political","Berada,Kidapawan,Cotabato",1,OK
81,124704007,"Gayola, Cotabato, Philippines",Cotabato,7.09709,125.0112782,APPROXIMATE,ChIJHQntYD7w-DIRNhD2Zrh7cCs,"administrative_area_level_5,political","Gayola,Kidapawan,Cotabato",1,OK
82,124704008,"Ginatilan, Cotabato, Philippines",Cotabato,7.0357253,125.1983598,APPROXIMATE,ChIJ1y0dfer9-DIRNDTowX_miNc,"administrative_area_level_5,political","Ginatilan,Kidapawan,Cotabato",1,OK
83,124704009,"Ilomavis, Kidapawan City, Cotabato, Philippines",Cotabato,7.0241809,125.2011079,APPROXIMATE,ChIJHT008OL9-DIR6zSrIVXRF7c,"administrative_area_level_5,political","Ilomavis,Kidapawan,Cotabato",1,OK
84,124704010,"Indangan, Kidapawan City, Cotabato, Philippines",Cotabato,7.012191,125.1296285,APPROXIMATE,ChIJWb0U9bb--DIRraeXG6tG4MI,"administrative_area_level_5,political","Indangan,Kidapawan,Cotabato",1,OK
85,124704011,"Junction, Kidapawan City, Cotabato, Philippines",Cotabato,6.9973464,125.0112782,APPROXIMATE,ChIJaSQ0P7v3-DIRAS2l7JBAQnQ,"administrative_area_level_5,political","Junction,Kidapawan,Cotabato",1,OK
86,124704012,"Barangay Kalaisan, Kidapawan City, Cotabato, Philippines",Cotabato,7.0070361,125.0305559,APPROXIMATE,ChIJC1yiSHr3-DIRc67gkG4nb7E,"neighborhood,political","Kalaisan,Kidapawan,Cotabato",1,OK
87,124704013,"Kalasuyan, Kidapawan City, Cotabato, Philippines",Cotabato,7.0460857,125.0773548,APPROXIMATE,ChIJI6UJHTX6-DIRffRmyluC2tU,"administrative_area_level_5,political","Kalasuyan,Kidapawan,Cotabato",1,OK
88,124704014,"Katipunan, Kidapawan City, Cotabato, Philippines",Cotabato,7.0668949,125.0195406,APPROXIMATE,ChIJD9CmzY3w-DIRfbVocMjiiBY,"administrative_area_level_5,political","Katipunan,Kidapawan,Cotabato",1,OK
89,124704015,"Lanao, Kidapawan City, Cotabato, Philippines",Cotabato,7.025467,125.0801068,APPROXIMATE,ChIJ44Z1aYP5-DIR7Y-Lld-a4WQ,"neighborhood,political","Lanao,Kidapawan,Cotabato",1,OK
90,124704016,"Linangcob, Kidapawan City, Cotabato, Philippines",Cotabato,7.0712458,125.0746026,APPROXIMATE,ChIJoxZ5yPv6-DIR6DqzE9wKllE,"administrative_area_level_5,political","Linangcob,Kidapawan,Cotabato",1,OK
91,124704017,"Luvimin, Kidapawan City, Cotabato, Philippines",Cotabato,7.050291,125.1076225,APPROXIMATE,ChIJZXabrZT7-DIR9XBvBRvd_yk,"administrative_area_level_5,political","Luvimin,Kidapawan,Cotabato",1,OK
92,124704018,"Macabolig, Kidapawan City, Cotabato, Philippines",Cotabato,7.0193714,124.9919961,APPROXIMATE,ChIJM00JbOH2-DIRa_rSq_sTbbw,"administrative_area_level_5,political","Macabolig,Kidapawan,Cotabato",1,OK
93,124704020,"Malinan, Kidapawan City, Cotabato, Philippines",Cotabato,7.0798853,125.0002604,APPROXIMATE,ChIJr_-8W1Tw-DIRKWYmBaCU9gY,"administrative_area_level_5,political","Malinan,Kidapawan,Cotabato",1,OK
94,124704021,"Manongol, Kidapawan City, Cotabato, Philippines",Cotabato,7.0317058,125.1131245,APPROXIMATE,ChIJKWt0q_z7-DIRiISwvxfVhSA,"administrative_area_level_5,political","Manongol,Kidapawan,Cotabato",1,OK
95,124704022,"Marbel (Embac), Kidapawan City, Cotabato, Philippines",Cotabato,7.0612377,125.0856107,APPROXIMATE,ChIJ1YwvKAH7-DIRa0o0ab282vQ,"administrative_area_level_5,political","Marbel (Embac),Kidapawan,Cotabato",1,OK
96,124704023,"Mateo, Kidapawan City, Cotabato, Philippines",Cotabato,7.0648254,125.0966173,APPROXIMATE,ChIJqbNLxqD7-DIRyBH6VgM4AGE,"administrative_area_level_5,political","Mateo,Kidapawan,Cotabato",1,OK
97,124704024,"Meochao, Kidapawan City, Cotabato, Philippines",Cotabato,7.0385525,125.1653759,APPROXIMATE,ChIJbfaA4jD8-DIRlczSV1JNHH4,"administrative_area_level_5,political","Meochao,Kidapawan,Cotabato",1,OK
98,124704025,"Mua-an, Kidapawan City, Cotabato, Philippines",Cotabato,7.059492,125.1323788,APPROXIMATE,ChIJW0XLtmT8-DIRnVXKo0cSk7M,"administrative_area_level_5,political","Mua-an,Kidapawan,Cotabato",1,OK
99,124704026,"New Bohol, Kidapawan City, Cotabato, Philippines",Cotabato,7.0479676,125.055335,APPROXIMATE,ChIJzXQvmBX6-DIRdSnFRrvJW_s,"administrative_area_level_5,political","New Bohol,Kidapawan,Cotabato",1,OK
100,124704027,"Nuangan, Kidapawan City, Cotabato, Philippines",Cotabato,7.0160954,125.1103736,APPROXIMATE,ChIJhXcCzUD5-DIRpgVRpRikz3A,"administrative_area_level_5,political","Nuangan,Kidapawan,Cotabato",1,OK
101,124704028,"Onica, Kidapawan City, Cotabato, Philippines",Cotabato,7.0445401,124.9892412,APPROXIMATE,ChIJycFVUSvx-DIREMBn4lHY_1U,"administrative_area_level_5,political","Onica,Kidapawan,Cotabato",1,OK
102,124704029,"Paco, Kidapawan City, Cotabato, Philippines",Cotabato,7.03172,125.0333095,APPROXIMATE,ChIJBf8u4VX3-DIRE82iLmvb6dQ,"neighborhood,political","Paco,Kidapawan,Cotabato",1,OK
103,124704030,"Patadon (Patadon East), Kidapawan City, Cotabato, Philippines",Cotabato,7.0644039,124.9823534,APPROXIMATE,ChIJFyF2lxDx-DIRHsJBldsTpjg,"administrative_area_level_5,political","Patadon (Patadon East),Kidapawan,Cotabato",1,OK
104,124704031,"Perez, Kidapawan City, Cotabato, Philippines",Cotabato,7.0123425,125.1543783,APPROXIMATE,ChIJE-b0Nob--DIRYaE7wl06y7U,"administrative_area_level_5,political","Perez,Kidapawan,Cotabato",1,OK
105,124704032,"Poblacion, Kidapawan City, Cotabato, Philippines",Cotabato,7.0089162,125.0883625,APPROXIMATE,ChIJQZrdkQj5-DIRas1ctLclqUI,"neighborhood,political","Poblacion,Kidapawan,Cotabato",1,OK
106,124704033,"Barangay San Isidro, Kidapawan City, Cotabato, Philippines",Cotabato,7.0779976,125.0222946,APPROXIMATE,ChIJvx7ImXfw-DIRbx8DgRXKNrc,"neighborhood,political","San Isidro,Kidapawan,Cotabato",1,OK
107,124704034,"San Roque, Kidapawan City, Cotabato, Philippines",Cotabato,7.0989822,124.9892412,APPROXIMATE,ChIJZ-JL88zx-DIRD_FSgkwXQWA,"administrative_area_level_5,political","San Roque,Kidapawan,Cotabato",1,OK
108,124704035,"Santo Nino, Kidapawan City, Cotabato, Philippines",Cotabato,7.07219,125.0635931,APPROXIMATE,ChIJE0Yw2fT6-DIRUUhhD1FyjiI,"administrative_area_level_5,political","Santo Niño,Kidapawan,Cotabato",1,OK
109,124704036,"Sibawan, Kidapawan City, Cotabato, Philippines",Cotabato,7.0674673,125.1186262,APPROXIMATE,ChIJ_6bF4Hf7-DIRS4RbZrg6oWw,"administrative_area_level_5,political","Sibawan,Kidapawan,Cotabato",1,OK
110,124704037,"Sikitan, Kidapawan City, Cotabato, Philippines",Cotabato,7.0670409,125.044323,APPROXIMATE,ChIJv1heFID6-DIRxYi_KcpN0VI,"administrative_area_level_5,political","Sikitan,Kidapawan,Cotabato",1,OK
111,124704038,"Barangay Singao, Kidapawan City, Cotabato, Philippines",Cotabato,6.9945463,125.044323,APPROXIMATE,ChIJU8K0ISz4-DIR0wxitqNcLM4,"neighborhood,political","Singao,Kidapawan,Cotabato",1,OK
112,124704039,"Barangay Sudapin, Kidapawan City, Cotabato, Philippines",Cotabato,7.0260884,125.0993687,APPROXIMATE,ChIJGchqd2H5-DIRs8EmC_nzyss,"neighborhood,political","Sudapin,Kidapawan,Cotabato",1,OK
113,124704040,"Sumbao, Kidapawan City, Cotabato, Philippines",Cotabato,7.0154683,125.0112782,APPROXIMATE,ChIJyd-N2xX3-DIR-R17U8PbA6M,"administrative_area_level_5,political","Sumbao,Kidapawan,Cotabato",1,OK
114,124704041,"Magsaysay, Kidapawan City, Cotabato, Philippines",Cotabato,7.0123506,125.0746026,APPROXIMATE,ChIJh2r2j6L5-DIRB97C6hR97GQ,"neighborhood,political","Magsaysay,Kidapawan,Cotabato",1,OK
115,124705000,"Libungan, Cotabato, Philippines",Cotabato,7.3163743,124.5306837,APPROXIMATE,ChIJ3f8FhQOh-DIRR-d8rvfFqPM,"locality,political","LIBUNGAN,Cotabato",1,OK
116,124705001,"Abaga, Cotabato, Philippines",Cotabato,7.2575062,124.5500697,APPROXIMATE,ChIJ-2RGNP-e-DIRJG-wHxZEiuY,"administrative_area_level_5,political","Abaga,Libungan,Cotabato",1,OK
